,ID,BRAND,REVENUE
0,000AHHU956,RetroReel,165.8417275747508
1,000BRHY264,CineQuest,22.551724137931032
2,000DJKK225,CineQuest,72.59178082191781
3,000DTPC747,LimeLight,80.0
4,000EFUI271,LimeLight,40.33380821917808
5,000ELOE240,LimeLight,80.01
6,000ENIY291,RetroReel,196.60273972602735
7,000ESDW551,RetroReel,196.60273972602735
8,000FBYF129,RetroReel,181.53994520547943
9,000FJHB065,RetroReel,60.0
10,000GTIY258,LimeLight,77.05
11,000JNLK053,CineQuest,58.98489296636086
12,000KGEM860,CineQuest,57.61806853582556
13,000KREJ709,RetroReel,181.6004383561644
14,000LZCB553,RetroReel,120.04
15,000NKPB626,ChillStream,152.56099999999998
16,000ORNZ823,CineQuest,143.81008403361344
17,000PDZG668,LimeLight,18.385276595744685
18,000PGCL630,ChillStream,151.17238356164384
19,000PGCL630,RetroReel,119.99
20,000QBES821,CineQuest,60.01
21,000QEVH452,LimeLight,64.49339207048459
22,000RCRI318,RetroReel,196.60273972602735
23,000RKIJ792,Pulse,40.0
24,000SDWN043,LimeLight,44.77064220183486
25,000SJSR665,Pulse,53.97235023041475
26,000TFKR237,RetroReel,60.488109589041095
27,000TMFK922,CineQuest,92.991452991453
28,000TMFK922,Pulse,14.20793577981651
29,000TOJT688,LimeLight,121.04679452054796
30,000TOJT688,Pulse,31.96
31,000TOJT688,RetroReel,34.850322580645155
32,000TXEC968,RetroReel,149.95
33,000TZZT543,RetroReel,181.4794520547945
34,000UCAC008,CineQuest,87.39946022727273
35,000UJBA972,RetroReel,181.4189589041096
36,000ULLT010,RetroReel,181.4794520547945
37,000UPJQ162,RetroReel,60.49819178082192
38,000UQTO352,LimeLight,80.01
39,000UQTO352,Pulse,25.20876404494382
40,000UTKY023,Pulse,11.58371040723982
41,000VITQ690,CineQuest,24.02
42,000XORN373,ChillStream,50.416
43,000XYZK575,Pulse,36.74698795180723
44,000YBDY680,Pulse,48.06
45,000YRER318,CineQuest,77.3585576923077
46,000YUBG396,RetroReel,171.5618497109827
47,000YWTK044,Pulse,25.210520547945205
48,000YZXN802,Pulse,53.59888
49,000ZBDO909,LimeLight,120.986301369863
50,001AJCT513,ChillStream,84.28278388278389
51,001ARPK279,ChillStream,211.4415
52,001AVSB880,LimeLight,120.986301369863
53,001BQUT830,ChillStream,100.0
54,001BZBX615,RetroReel,60.49315068493151
55,001DJNA725,LimeLight,79.99
56,001DLTR482,CineQuest,80.48167539267016
57,001FSQJ082,ChillStream,163.83561643835617
58,001GBJC687,LimeLight,121.10728767123288
59,001GUVF664,LimeLight,64.94471502590673
60,001HERX577,RetroReel,150.0
61,001JDME989,LimeLight,73.5678391959799
62,001KIWF507,RetroReel,181.4189589041096
63,001LPDP619,Pulse,48.45501369863014
64,001MJIH685,Pulse,10.192783018867924
65,001NKRX135,Pulse,32.04
66,001NOKZ662,CineQuest,30.246575342465757
67,001NOKZ662,RetroReel,181.4189589041096
68,001NUQI691,ChillStream,171.69352112676057
69,001OJEK601,ChillStream,151.23287671232876
70,001OZTH974,Pulse,40.0
71,001PIBK965,CineQuest,72.65227397260274
72,001PIBK965,LimeLight,57.84
73,001PILU789,CineQuest,180.01
74,001PKYB529,LimeLight,53.72093023255813
75,001QBUN395,CineQuest,139.1036842105263
76,001QSLT093,Pulse,25.19539726027397
