,ID,BRAND,recency,frequency,tenure
31508,388UPXP631,DesignLab,164,0,164
31509,388UPXP631,PopCulture Now,98,1,98
31510,388XMLP373,SilverScreen Classics,42,2,72
31511,388XMLP373,TimeCapsule TV,37,1,89
31512,388YFJH164,TasteMakers,180,0,180
31513,388YMVR631,RetroReel,54,1,147
31514,388ZLWS156,ChillStream,17,1,128
31515,388ZLWS156,RetroReel,43,1,43
31516,388ZNVS874,SilverScreen Classics,111,1,111
31517,388ZRTA411,TimeCapsule TV,80,1,80
31518,388ZWIY414,DesignLab,24,0,24
31519,388ZWIY414,TasteMakers,25,0,25
31520,388ZXKG336,LimeLight,46,2,158
31521,389AEFW872,Adrenaline,87,0,87
31522,389AEFW872,DarkMatter,153,2,160
31523,389ATNF982,Adrenaline,137,0,137
31524,389ATNF982,DarkMatter,10,0,10
31525,389AZAX443,CineQuest,106,0,106
31526,389AZAX443,LimeLight,112,1,112
31527,389BVOT642,RetroReel,21,1,161
31528,389BVOT642,TimeCapsule TV,1,1,1
31529,389CDNZ028,ChillStream,95,1,128
31530,389COEI477,CineQuest,72,1,139
31531,389CQOJ312,Pulse,163,0,163
31532,389DAPZ569,ChillStream,77,2,151
31533,389DBDH495,TasteMakers,6,1,43
31534,389DBZS365,LimeLight,25,0,25
31535,389DSHF767,RetroReel,63,1,63
31536,389DTNU049,Pulse,95,1,166
31537,389EJCW968,ChillStream,10,1,159
31538,389EVLC923,RetroReel,160,1,160
31539,389EZDH656,Pulse,116,0,116
31540,389FAQB316,LimeLight,142,0,142
31541,389FMQE530,SilverScreen Classics,116,0,116
31542,389GLKA431,DesignLab,133,1,133
31543,389HDEX802,PopCulture Now,38,0,38
31544,389HGDO135,Adrenaline,150,0,150
31545,389HKXR287,Adrenaline,83,2,129
31546,389HKXR287,DarkMatter,62,1,134
31547,389HWPG358,LimeLight,3,4,162
31548,389HWPG358,RetroReel,40,0,40
31549,389HYZA858,RetroReel,131,2,148
31550,389HYZA858,SilverScreen Classics,86,2,120
31551,389IIVU288,RetroReel,99,1,115
31552,389IIVU288,SilverScreen Classics,72,1,72
31553,389IIVU288,TimeCapsule TV,39,2,45
31554,389IIWC678,LimeLight,66,0,66
31555,389IIWC678,RetroReel,81,0,81
31556,389IIWC678,SilverScreen Classics,28,0,28
31557,389IKYG580,SilverScreen Classics,121,1,138
31558,389IPBC880,DarkMatter,133,1,133
31559,389IPBC880,LimeLight,89,1,89
31560,389JPPY369,LimeLight,93,1,100
31561,389KBYG081,DarkMatter,44,1,44
31562,389KGJU868,DesignLab,122,1,122
31563,389KVBW595,CineQuest,154,0,154
31564,389LBUW821,RetroReel,50,3,154
31565,389LTAI699,TimeCapsule TV,172,1,172
31566,389NKUA336,SilverScreen Classics,26,1,26
31567,389NKUA336,TimeCapsule TV,63,0,63
31568,389NZBE984,CineQuest,90,1,104
31569,389OKOA885,PopCulture Now,167,0,167
31570,389OPNB991,ChillStream,69,1,69
31571,389OPNB991,RetroReel,18,2,180
31572,389OPNB991,TimeCapsule TV,86,1,86
31573,389PJQY748,RetroReel,9,1,93
31574,389PLSG182,ChillStream,83,1,83
31575,389PQUJ907,Adrenaline,69,1,69
31576,389PQUJ907,DarkMatter,33,0,33
31577,389PTVD789,SilverScreen Classics,174,1,174
31578,389PTVD789,TimeCapsule TV,42,1,42
31579,389QJCQ748,Pulse,6,1,179
31580,389QLLW009,RetroReel,97,1,97
31581,389QOHQ994,Pulse,140,0,140
31582,389SBKU906,ChillStream,102,1,106
31583,389SDFM854,CineQuest,147,1,147
31584,389SHZE983,LimeLight,133,1,133
31585,389SPQS302,DesignLab,168,0,168
31586,389SPQS302,LimeLight,42,0,42
31587,389SPQS302,PopCulture Now,162,1,162
31588,389SYVU357,ChillStream,63,1,63
31589,389SYVU357,RetroReel,67,2,106
31590,389TIOS774,Adrenaline,56,1,56
31591,389TIOS774,DarkMatter,106,1,106
31592,389TQBP918,DesignLab,126,1,126
31593,389TQBP918,TasteMakers,117,1,117
31594,389UAON051,RetroReel,78,2,146
31595,389UAON051,SilverScreen Classics,142,0,142
31596,389UAON051,TimeCapsule TV,121,1,121
31597,389UONC449,Adrenaline,81,1,81
31598,389UONC449,DarkMatter,73,0,73
31599,389UYIN594,ChillStream,31,1,72
31600,389UYIN594,Pulse,52,1,52
31601,389VJST483,Adrenaline,84,1,84
31602,389VUDH862,SilverScreen Classics,161,1,161
31603,389VUDH862,TimeCapsule TV,76,1,76
31604,389WIXW052,LimeLight,5,1,5
31605,389WJFN978,TimeCapsule TV,153,1,153
31606,389WOXE140,Adrenaline,25,1,59
31607,389WUWQ407,LimeLight,34,1,101
31608,389XODD783,CineQuest,35,1,117
31609,389XSPX933,LimeLight,78,1,78
31610,389XXYY479,TasteMakers,58,1,58
31611,389ZCKG472,PopCulture Now,14,1,14
31612,389ZEJE793,CineQuest,103,0,103
31613,389ZULX237,LimeLight,90,2,164
31614,390AFDP564,ChillStream,143,1,143
31615,390AFDP564,CineQuest,8,1,87
31616,390AFDP564,Pulse,129,1,165
31617,390AFIM119,CineQuest,50,1,159
31618,390AFIM119,LimeLight,125,1,125
31619,390AKIH306,Adrenaline,54,1,54
31620,390ALFO182,RetroReel,34,0,34
31621,390ALFO182,SilverScreen Classics,34,0,34
31622,390ALFO182,TimeCapsule TV,135,1,135
31623,390BHPN881,ChillStream,76,0,76
31624,390BHPN881,RetroReel,153,1,153
31625,390BUDK877,LimeLight,59,3,116
31626,390BYHG522,Pulse,55,3,155
31627,390CUBP686,SilverScreen Classics,75,0,75
31628,390DKIA748,CineQuest,67,2,160
31629,390ENON817,Adrenaline,36,1,154
31630,390ENON817,DarkMatter,35,1,36
31631,390FSSW396,Adrenaline,117,0,117
31632,390FSUO011,ChillStream,22,1,22
31633,390FUTK692,SilverScreen Classics,63,1,113
31634,390FUTK692,TimeCapsule TV,178,0,178
31635,390FXLL261,ChillStream,0,1,174
31636,390FXLL261,LimeLight,179,0,179
31637,390GCSJ119,Adrenaline,131,1,131
31638,390GCSJ119,DarkMatter,18,1,107
31639,390GCSJ119,Pulse,157,1,157
31640,390GFQH501,TimeCapsule TV,58,1,58
31641,390GXAD135,DarkMatter,179,1,179
31642,390HESP366,TimeCapsule TV,14,0,14
31643,390HKLA318,CineQuest,105,1,179
31644,390HKLA318,LimeLight,130,1,130
31645,390ICOR461,Pulse,26,1,26
31646,390IHJU256,SilverScreen Classics,158,1,158
31647,390IJJO002,DarkMatter,119,0,119
31648,390IJJO002,Pulse,134,0,134
31649,390ISSN272,LimeLight,86,1,132
31650,390JWID933,CineQuest,164,1,168
31651,390JWID933,RetroReel,93,1,93
31652,390KHJP040,Adrenaline,36,1,36
31653,390KHJP040,DarkMatter,61,2,149
31654,390KHJP040,Pulse,73,1,117
31655,390KUTI474,Pulse,93,1,93
31656,390LKIF370,SilverScreen Classics,51,1,93
31657,390LLDQ518,SilverScreen Classics,72,1,72
31658,390LTKB925,DesignLab,108,1,108
31659,390LTKB925,TasteMakers,11,1,11
31660,390LYBF885,ChillStream,15,1,93
31661,390MQSO228,DarkMatter,10,1,10
31662,390NVRG507,Adrenaline,137,1,137
31663,390NWOE984,PopCulture Now,97,1,97
31664,390NWOE984,TasteMakers,69,0,69
31665,390NYAF140,DarkMatter,171,1,171
31666,390NYAF140,Pulse,127,2,156
31667,390OBHP291,RetroReel,112,1,156
31668,390OBHP291,SilverScreen Classics,18,1,37
31669,390OFYQ709,Pulse,43,1,101
31670,390ONYC315,SilverScreen Classics,119,1,119
31671,390OQIX541,LimeLight,81,0,81
31672,390PJGX397,ChillStream,112,0,112
31673,390QUAT701,Pulse,50,2,118
31674,390QVAH482,Adrenaline,61,1,61
31675,390RBGE505,SilverScreen Classics,0,0,0
31676,390RMVC462,PopCulture Now,1,1,1
31677,390RQTH591,Adrenaline,136,1,136
31678,390RRBU655,PopCulture Now,31,1,31
31679,390RXYX025,Adrenaline,167,1,167
31680,390RZQD492,LimeLight,16,1,16
31681,390RZQD492,RetroReel,135,2,171
31682,390SNTX612,LimeLight,24,1,77
31683,390SRLT837,CineQuest,45,1,45
31684,390SVHQ339,SilverScreen Classics,100,1,100
31685,390SVHQ339,TimeCapsule TV,36,1,36
31686,390SZHX056,Pulse,44,0,44
31687,390TMHP590,ChillStream,7,1,7
31688,390TPCB067,LimeLight,108,1,108
31689,390TPCB067,RetroReel,34,1,34
31690,390TREO841,ChillStream,77,0,77
31691,390UGPR525,PopCulture Now,8,0,8
31692,390UHLJ116,Adrenaline,37,0,37
31693,390UHLJ116,Pulse,66,2,123
31694,390USDL948,LimeLight,30,1,147
31695,390UXCF992,LimeLight,41,0,41
31696,390VBDC565,RetroReel,122,0,122
31697,390VBDC565,SilverScreen Classics,168,1,168
31698,390VBDC565,TimeCapsule TV,61,1,61
31699,390VEEK480,TimeCapsule TV,82,1,82
31700,390WSLE561,Pulse,32,1,180
31701,390XBUJ805,Pulse,129,2,139
31702,390XXSX113,LimeLight,96,1,96
31703,390XXSX113,RetroReel,55,2,158
31704,390ZLVY406,LimeLight,14,1,14
31705,390ZLVY406,TasteMakers,58,1,58
31706,390ZUAL737,Pulse,36,1,36
31707,390ZVYS618,SilverScreen Classics,67,0,67
31708,391ATYB113,DesignLab,25,1,25
31709,391BQYT974,ChillStream,56,2,159
31710,391BQYT974,RetroReel,113,2,174
31711,391CARQ093,LimeLight,152,1,152
31712,391CARQ093,Pulse,25,1,25
31713,391CFIF915,Pulse,25,1,173
31714,391CJAE703,TasteMakers,138,1,138
31715,391DEAF546,RetroReel,26,1,119
31716,391DFNT384,CineQuest,116,2,137
31717,391DNGY472,Adrenaline,26,0,26
31718,391DXAX099,Adrenaline,29,1,84
31719,391DXAX099,DarkMatter,29,1,29
31720,391DXAX099,Pulse,52,1,52
31721,391DXAX099,RetroReel,115,1,115
31722,391ETMJ836,SilverScreen Classics,37,1,37
31723,391FEXK369,CineQuest,30,1,30
31724,391FEXK369,DarkMatter,56,1,56
31725,391FEXK369,LimeLight,55,1,55
31726,391FEXK369,Pulse,59,1,124
31727,391FEXK369,RetroReel,8,0,8
31728,391FFHV798,DesignLab,73,0,73
31729,391FFHV798,LimeLight,151,1,151
31730,391FVUX197,ChillStream,100,1,100
31731,391GAZN260,Adrenaline,60,1,133
31732,391GAZN260,Pulse,112,1,180
31733,391GBFH639,PopCulture Now,2,1,14
31734,391GBFH639,TasteMakers,156,1,156
31735,391GVPY166,Pulse,11,2,107
31736,391HQEV074,TimeCapsule TV,20,1,20
31737,391HVAS212,Pulse,96,2,141
31738,391IDKV288,ChillStream,24,2,135
31739,391JAUB800,RetroReel,38,1,38
31740,391JAUB800,TimeCapsule TV,173,1,173
31741,391JFTS407,DesignLab,72,0,72
31742,391JSVN134,CineQuest,152,0,152
31743,391JSVN134,Pulse,173,1,173
31744,391JVUO085,DesignLab,106,1,106
31745,391JZMC600,TimeCapsule TV,76,1,76
31746,391KKZP243,TimeCapsule TV,24,0,24
31747,391LBRL808,LimeLight,168,1,168
31748,391LCRH096,LimeLight,17,1,92
31749,391LGFN578,TasteMakers,67,1,67
31750,391LIYX039,Adrenaline,165,1,165
31751,391LIYX039,DarkMatter,115,1,115
31752,391MJFY895,ChillStream,82,1,82
31753,391MRDG117,LimeLight,127,0,127
31754,391NCHX152,TasteMakers,117,1,117
31755,391NGQG744,ChillStream,9,3,154
31756,391NGQG744,CineQuest,57,1,57
31757,391NVCB105,LimeLight,171,1,171
31758,391NVCB105,RetroReel,175,0,175
31759,391NVCB105,TasteMakers,133,1,133
31760,391OFJD924,PopCulture Now,64,0,64
31761,391OSMD059,DesignLab,163,1,163
31762,391OSMD059,LimeLight,115,2,120
31763,391QUZA112,DarkMatter,168,0,168
31764,391QUZA112,Pulse,71,1,71
31765,391QUZA112,RetroReel,75,0,75
31766,391QVIE176,LimeLight,12,0,12
31767,391RAGN316,Adrenaline,137,1,137
31768,391ROXE613,Adrenaline,127,0,127
